,recipeName,recipeLink,name,calories,fat,protein,carb,imgURL,click_count,image
3,Cast-Iron-Skillet-Pork-Chops-2609161,recipe/Cast-Iron-Skillet-Pork-Chops-2609161,Cast-Iron Skillet Pork Chops,320,23.0,24.0,0.5,https://lh3.ggpht.com/QUeafFXnWxcfzushH6MnF3KxWbXAg9zGs8WZB0BzSvrieF8XUPiFJRnBUlmM9ytbFKiDymTfHEtsOK3ii8oj,10043,https://lh3.ggpht.com/QUeafFXnWxcfzushH6MnF3KxWbXAg9zGs8WZB0BzSvrieF8XUPiFJRnBUlmM9ytbFKiDymTfHEtsOK3ii8oj=s640-c-rw-v1-e365
8,Cilantro-Lime-Chicken-Thighs-2698912,recipe/Cilantro-Lime-Chicken-Thighs-2698912,Cilantro Lime Chicken Thighs,240,12.0,32.0,0.5,https://lh3.googleusercontent.com/YTpwZu76unLRWh1mfIzyrgnqmwIbg6prW9pHPzrbMfmljW1yyhuEotGAmiGYZrY9JqDNFq0kahR7LQ7aDUT1bg,30259,https://lh3.googleusercontent.com/YTpwZu76unLRWh1mfIzyrgnqmwIbg6prW9pHPzrbMfmljW1yyhuEotGAmiGYZrY9JqDNFq0kahR7LQ7aDUT1bg=s640-c-rw-v1-e365
11,Cheesy-Pull-Apart-Garlic-Bread-2525846,recipe/Cheesy-Pull-Apart-Garlic-Bread-2525846,Cheesy Pull-Apart Garlic Bread,220,22.0,4.0,0.5,https://lh3.googleusercontent.com/d30PT_5T739rWzoOXgE6LabLoPaPK3XeR5qGiWoYXNUzOV4JAw3yQ2d7-lwBb_HtTQk93PEMD6TvVX4oJMncMA,633,https://lh3.googleusercontent.com/d30PT_5T739rWzoOXgE6LabLoPaPK3XeR5qGiWoYXNUzOV4JAw3yQ2d7-lwBb_HtTQk93PEMD6TvVX4oJMncMA=s640-c-rw-v1-e365
16,Garlic-Parmesan-Wing-Sauce-2488993,recipe/Garlic-Parmesan-Wing-Sauce-2488993,Garlic Parmesan Wing Sauce,260,27.0,5.0,1.0,https://lh3.googleusercontent.com/LLtqtMlGO6EZUDfJdupsElc2gUOy4wzTl5dS0hS0HzeHLGjbzAfyHZCa_2DEswSQCLB_DniIXSlMiqNiwaxXUQ,685,https://lh3.googleusercontent.com/LLtqtMlGO6EZUDfJdupsElc2gUOy4wzTl5dS0hS0HzeHLGjbzAfyHZCa_2DEswSQCLB_DniIXSlMiqNiwaxXUQ=s640-c-rw-v1-e365
17,Garlic-Butter-Steak-Bites-2517022,recipe/Garlic-Butter-Steak-Bites-2517022,Garlic Butter Steak Bites,310,16.0,38.0,1.0,https://lh3.googleusercontent.com/Kst4VrBiW6jVO-0SqfcodYmbb2o50DhtRWhnpVn6ZkZAu3R-_3Hs-6rdtwBSnW6th_Imkf5teRoTJ-JegHTQfQ,7973,https://lh3.googleusercontent.com/Kst4VrBiW6jVO-0SqfcodYmbb2o50DhtRWhnpVn6ZkZAu3R-_3Hs-6rdtwBSnW6th_Imkf5teRoTJ-JegHTQfQ=s640-c-rw-v1-e365
18,Classic-Garlic-Baked-Chicken-Thighs-9029454,recipe/Classic-Garlic-Baked-Chicken-Thighs-9029454,Classic Garlic-Baked Chicken Thighs,390,32.0,25.0,1.0,https://lh3.googleusercontent.com/QRxrTx8R3bcpfAJbt4oKNf3tXTQBPicWzMIA6FkT0fpZI-HCfNaBp3OQlCxw0reEQQFdMRQ7XDMg0Ln1MBfxew,8009,https://lh3.googleusercontent.com/QRxrTx8R3bcpfAJbt4oKNf3tXTQBPicWzMIA6FkT0fpZI-HCfNaBp3OQlCxw0reEQQFdMRQ7XDMg0Ln1MBfxew=s640-c-rw-v1-e365
20,Mozzarella-and-Pesto-Chicken-In-A-Crock-Pot-2406631,recipe/Mozzarella-and-Pesto-Chicken-In-A-Crock-Pot-2406631,Mozzarella and Pesto Chicken In A Crock Pot,390,28.0,33.0,1.0,https://lh3.ggpht.com/SDMEeGf0zbzQrxN8lLhr_nMvbHjG59E3Lm8y3fDfpbebND6uDOGaKoUKAPjWcdc7dO0YTsa7OFU9vMjr-o0_mA,33520,https://lh3.ggpht.com/SDMEeGf0zbzQrxN8lLhr_nMvbHjG59E3Lm8y3fDfpbebND6uDOGaKoUKAPjWcdc7dO0YTsa7OFU9vMjr-o0_mA=s640-c-rw-v1-e365
21,Keto-Cheese-Meatballs-9073366,recipe/Keto-Cheese-Meatballs-9073366,Keto Cheese Meatballs,370,25.0,31.0,1.0,https://lh3.googleusercontent.com/_NlOJIv7RkEqc64RLZp5Cfu-ExznigRO1X-NbbEDDBKGeHB9VuQ8yMZeQ_Y9tN1bkTsZGZlnSkJ6ZMu-FvfLPg,40010,https://lh3.googleusercontent.com/_NlOJIv7RkEqc64RLZp5Cfu-ExznigRO1X-NbbEDDBKGeHB9VuQ8yMZeQ_Y9tN1bkTsZGZlnSkJ6ZMu-FvfLPg=s640-c-rw-v1-e365
25,Greek-Salad-Dressing-2636207,recipe/Greek-Salad-Dressing-2636207,Greek Salad Dressing,330,36.0,0.0,1.0,https://lh3.googleusercontent.com/WP9YFQ8A5ytV2y65uvEQHCD1XjoNAjdsC61tK-ZzZYC61CtCCYDU-xNIaa8LFywDsOm0OGZQGDSWTCRu6NGP2A,2293,https://lh3.googleusercontent.com/WP9YFQ8A5ytV2y65uvEQHCD1XjoNAjdsC61tK-ZzZYC61CtCCYDU-xNIaa8LFywDsOm0OGZQGDSWTCRu6NGP2A=s640-c-rw-v1-e365
26,Keto-Low-Carb-Mongolian-Beef-2476317,recipe/Keto-Low-Carb-Mongolian-Beef-2476317,Keto Low Carb Mongolian Beef,320,26.0,22.0,1.0,https://lh3.googleusercontent.com/pLdNMwGMHG9szbKWWQOZ2zfXhJ1U9E0gniHnQipDU337vW9U07cfg55lEecY8RcV18y_EQ592fCf3ern3PkhEw,97514,https://lh3.googleusercontent.com/pLdNMwGMHG9szbKWWQOZ2zfXhJ1U9E0gniHnQipDU337vW9U07cfg55lEecY8RcV18y_EQ592fCf3ern3PkhEw=s640-c-rw-v1-e365
28,Melt-In-Your-Mouth-Baked-Chicken-Breasts-9073095,recipe/Melt-In-Your-Mouth-Baked-Chicken-Breasts-9073095,Melt-In-Your-Mouth Baked Chicken Breasts,300,14.0,38.0,1.0,https://lh3.googleusercontent.com/DW3yCxR7lmKAuJeA4Lyv7yrOM54VXOD4yXFD8ZeQg8zaxDhhmc9FBsAWpH49ptVK7mqBlvGS1z27dYjTETJ7,28641,https://lh3.googleusercontent.com/DW3yCxR7lmKAuJeA4Lyv7yrOM54VXOD4yXFD8ZeQg8zaxDhhmc9FBsAWpH49ptVK7mqBlvGS1z27dYjTETJ7=s640-c-rw-v1-e365
30,Chicken-with-Rosemary-Butter-Sauce-2641288,recipe/Chicken-with-Rosemary-Butter-Sauce-2641288,Chicken with Rosemary Butter Sauce,340,26.0,26.0,1.0,https://lh3.googleusercontent.com/_tNHy9sj9SrZx8-_gYtxiGElIUMgLU4AhruDpg_G736nAd9zma6HfTtWBR3NcE2pfJd06LYa25Ll0MC5bFF-IA,193059,https://lh3.googleusercontent.com/_tNHy9sj9SrZx8-_gYtxiGElIUMgLU4AhruDpg_G736nAd9zma6HfTtWBR3NcE2pfJd06LYa25Ll0MC5bFF-IA=s640-c-rw-v1-e365
34,Sweet-and-Spicy-Bacon-Chicken-2405648,recipe/Sweet-and-Spicy-Bacon-Chicken-2405648,Sweet and Spicy Bacon Chicken,320,9.0,49.0,10.0,https://lh3.googleusercontent.com/wswZhw10CkI8nOXyY79we_Y7V6TcAa0BeUtzVtG9FLrRqi4Rq3zkDhNS-Cm3yi0SfLHzKO0qsZTGW7vjY_wV,44212,https://lh3.googleusercontent.com/wswZhw10CkI8nOXyY79we_Y7V6TcAa0BeUtzVtG9FLrRqi4Rq3zkDhNS-Cm3yi0SfLHzKO0qsZTGW7vjY_wV=s640-c-rw-v1-e365
39,Avocado-Toast-2451824,recipe/Avocado-Toast-2451824,Avocado Toast,240,20.0,9.0,10.0,https://lh3.googleusercontent.com/rlrcPC5x_s3OaxaPasTPVtKpVZFC3c3OueEsLiGWxK8nOco9g7xxyg-06Q2qbRmJqAs0fFvWbqfPKtXgMNucRw,4612,https://lh3.googleusercontent.com/rlrcPC5x_s3OaxaPasTPVtKpVZFC3c3OueEsLiGWxK8nOco9g7xxyg-06Q2qbRmJqAs0fFvWbqfPKtXgMNucRw=s640-c-rw-v1-e365
40,Low-Carb-Mushroom-_-Spinach-Cauliflower-Rice-2608900,recipe/Low-Carb-Mushroom-_-Spinach-Cauliflower-Rice-2608900,Low Carb Mushroom & Spinach Cauliflower Rice,240,20.0,6.0,10.0,https://lh3.googleusercontent.com/ruWv09Y43LudcQgRwNKSUbB-pczLKRHTkA5B4n_9G1uI6opeZQmabrtSy4vVIZOsl86V2bEIR96DwKySpnixeg,27894,https://lh3.googleusercontent.com/ruWv09Y43LudcQgRwNKSUbB-pczLKRHTkA5B4n_9G1uI6opeZQmabrtSy4vVIZOsl86V2bEIR96DwKySpnixeg=s640-c-rw-v1-e365
49,Classic-Meatloaf-2302056,recipe/Classic-Meatloaf-2302056,Classic Meatloaf,310,19.0,25.0,10.0,https://lh3.googleusercontent.com/nWQ0rPK0oc5XnBCBe2RDUkCdYbVX_LAQD-4cnMuU9Pp_AhMgB0Qt2J9E4MCHSyciixp6mxsVCoI7L6QBfCSfPg,11692,https://lh3.googleusercontent.com/nWQ0rPK0oc5XnBCBe2RDUkCdYbVX_LAQD-4cnMuU9Pp_AhMgB0Qt2J9E4MCHSyciixp6mxsVCoI7L6QBfCSfPg=s640-c-rw-v1-e365
57,Baked-Chicken-Parmesan-2254766,recipe/Baked-Chicken-Parmesan-2254766,Baked Chicken Parmesan,250,10.0,29.0,10.0,https://lh3.googleusercontent.com/VHOt2LdumRYMmEDAJqSvKANgoHVB3LdUj6B2CoCVAkzsb82X8uRmOTOiOJ9teOTPXK2Kmq2iIc3RU1xtb1i6,129930,https://lh3.googleusercontent.com/VHOt2LdumRYMmEDAJqSvKANgoHVB3LdUj6B2CoCVAkzsb82X8uRmOTOiOJ9teOTPXK2Kmq2iIc3RU1xtb1i6=s640-c-rw-v1-e365
64,Easy-Shepherds-Pie-2636725,recipe/Easy-Shepherds-Pie-2636725,Easy Shepherd’s Pie,320,19.0,24.0,11.0,https://lh3.googleusercontent.com/fvwXJt35WwZKyuwLHfmyMNJVLHYVYiLMBXXzX5OUWVFgcjVopRzcnFxBil7E_ldZ3pzSxrzO3vVYJp9lJ9g7uQ,11034,https://lh3.googleusercontent.com/fvwXJt35WwZKyuwLHfmyMNJVLHYVYiLMBXXzX5OUWVFgcjVopRzcnFxBil7E_ldZ3pzSxrzO3vVYJp9lJ9g7uQ=s640-c-rw-v1-e365
65,Blackened-Shrimp-2634480,recipe/Blackened-Shrimp-2634480,Blackened Shrimp,250,8.0,35.0,11.0,https://lh3.googleusercontent.com/fX_4IwsUsYe9VWGYb3RP9EQ9ScoFjmLYqsL2HeGN2kA-Xzmz4KZYtz4pwp0L8ApMZ6Di_1PpljXDEfACZtVX,10344,https://lh3.googleusercontent.com/fX_4IwsUsYe9VWGYb3RP9EQ9ScoFjmLYqsL2HeGN2kA-Xzmz4KZYtz4pwp0L8ApMZ6Di_1PpljXDEfACZtVX=s640-c-rw-v1-e365
74,Eggs-Baked-in-Avocado-9116032,recipe/Eggs-Baked-in-Avocado-9116032,Eggs Baked in Avocado,240,20.0,9.0,11.0,https://lh3.googleusercontent.com/Qn0v5hFO4WEemq6Br4n42TIYjOjtgyGzn5uXPuqIrp8j2B5ssuzCeQ1etKCl_Mt1calBAsvsiGmS4T7QJhO8Bw,12288,https://lh3.googleusercontent.com/Qn0v5hFO4WEemq6Br4n42TIYjOjtgyGzn5uXPuqIrp8j2B5ssuzCeQ1etKCl_Mt1calBAsvsiGmS4T7QJhO8Bw=s640-c-rw-v1-e365
79,Sweet-and-Salty-Candied-Bacon-9029436,recipe/Sweet-and-Salty-Candied-Bacon-9029436,Sweet and Salty Candied Bacon,300,26.0,7.0,11.0,https://lh3.googleusercontent.com/F0SPiV6Q5gmy5suk7qyXrbpPiNX0K4PPkUrUHZESMnJLTpWTrPkQeWrJA3tYBkPZu3zC0_wXQBrQ-1Zn2rv3GQ,4354,https://lh3.googleusercontent.com/F0SPiV6Q5gmy5suk7qyXrbpPiNX0K4PPkUrUHZESMnJLTpWTrPkQeWrJA3tYBkPZu3zC0_wXQBrQ-1Zn2rv3GQ=s640-c-rw-v1-e365
