,recipeName,recipeLink,name,calories,fat,protein,carb,imgURL,click_count,image
27,Easy-Egg-And-Cheese-Casserole-9029558,recipe/Easy-Egg-And-Cheese-Casserole-9029558,Easy Egg And Cheese Casserole,170,12.0,12.0,1.0,https://lh3.googleusercontent.com/8aFftmzC5HwwF5OsqXyyczvUqntGcKxWZBbAm-WOE_dhWYLT76nXiK68y7JyV0qIwlb_hQgrmBJgO3twYsIBwA,3711,https://lh3.googleusercontent.com/8aFftmzC5HwwF5OsqXyyczvUqntGcKxWZBbAm-WOE_dhWYLT76nXiK68y7JyV0qIwlb_hQgrmBJgO3twYsIBwA=s640-c-rw-v1-e365
29,Low-Carb-Tortillas-2652185,recipe/Low-Carb-Tortillas-2652185,Low Carb Tortillas,35,2.0,4.0,1.0,https://lh3.googleusercontent.com/_uyPuGwvv1IqXqmEvrOYucgZgquuMnuyT5DDXrVozKmFFIWiDwZN14UM10WH1cXnefWiIGEGG0x9DoFP_HuUcQ,1429,https://lh3.googleusercontent.com/_uyPuGwvv1IqXqmEvrOYucgZgquuMnuyT5DDXrVozKmFFIWiDwZN14UM10WH1cXnefWiIGEGG0x9DoFP_HuUcQ=s640-c-rw-v1-e365
32,Easy-White-Cheese-_-Garlic-Pizzas-9029496,recipe/Easy-White-Cheese-_-Garlic-Pizzas-9029496,Easy White Cheese & Garlic Pizzas,110,5.0,5.0,10.0,https://lh3.googleusercontent.com/UyOcAUtHtGMhwFNayuGToyY9V-S1vl9OOs8ycgXxJXevQDyHTkX5_luRkhU-hTHi4AlSkGA_lDUMxV-uQKfDFPY,4311,https://lh3.googleusercontent.com/UyOcAUtHtGMhwFNayuGToyY9V-S1vl9OOs8ycgXxJXevQDyHTkX5_luRkhU-hTHi4AlSkGA_lDUMxV-uQKfDFPY=s640-c-rw-v1-e365
33,Perfect-Yorkshire-Puddings_-2158959,recipe/Perfect-Yorkshire-Puddings_-2158959,Perfect Yorkshire Puddings!,80,2.0,4.0,10.0,https://lh3.googleusercontent.com/sTyQ31tKYTbq1gt4Z-9-kV5xx-U_XPsliJSs33gS_f2QbBxrjW01dhcbQp4FawNh0Didx0N_mTcyAmgsE27S_Q,1626,https://lh3.googleusercontent.com/sTyQ31tKYTbq1gt4Z-9-kV5xx-U_XPsliJSs33gS_f2QbBxrjW01dhcbQp4FawNh0Didx0N_mTcyAmgsE27S_Q=s640-c-rw-v1-e365
35,Roasted-Tomatoes-With-Garlic-9015888,recipe/Roasted-Tomatoes-With-Garlic-9015888,Roasted Tomatoes With Garlic,110,7.0,3.0,10.0,https://lh3.googleusercontent.com/40qIDk-IV8hRA3-GhB_mb234rIJmrQlMm8O-XXfjjON8mDlbIorJssPHnA_9LdSz4JBDrXXcrxyCdl1UgxmNFS8,244,https://lh3.googleusercontent.com/40qIDk-IV8hRA3-GhB_mb234rIJmrQlMm8O-XXfjjON8mDlbIorJssPHnA_9LdSz4JBDrXXcrxyCdl1UgxmNFS8=s640-c-rw-v1-e365
36,Blueberry-Chia-Overnight-Oats-2618497,recipe/Blueberry-Chia-Overnight-Oats-2618497,Blueberry Chia Overnight Oats,70,2.5,2.0,10.0,https://lh3.googleusercontent.com/zrBhGD_gZSIoyhgRAD1kBkKUHxB_98FA9dE-woKdsWSVgrCNwr0aUGMbLlDasN2RvbGBKdawGnNspPFvYhdH,2656,https://lh3.googleusercontent.com/zrBhGD_gZSIoyhgRAD1kBkKUHxB_98FA9dE-woKdsWSVgrCNwr0aUGMbLlDasN2RvbGBKdawGnNspPFvYhdH=s640-c-rw-v1-e365
37,Homemade-Starbucks-Pink-Drink-2322963,recipe/Homemade-Starbucks-Pink-Drink-2322963,Homemade Starbucks Pink Drink,130,11.0,1.0,10.0,https://lh3.googleusercontent.com/51nYzN8QB3R32CbDOzqlLTvILC0H0l5-IOCHc31WjQUzXywYdcyyUphqzJ8GycAJ8QzNd5p718zg1ayOdyvKMg,4814,https://lh3.googleusercontent.com/51nYzN8QB3R32CbDOzqlLTvILC0H0l5-IOCHc31WjQUzXywYdcyyUphqzJ8GycAJ8QzNd5p718zg1ayOdyvKMg=s640-c-rw-v1-e365
38,Honey-Mustard-Slow-Cooker-Chicken-_Low-FODMAP_-GF_-DF_-SCD_-9087881,recipe/Honey-Mustard-Slow-Cooker-Chicken-_Low-FODMAP_-GF_-DF_-SCD_-9087881,"Honey Mustard Slow Cooker Chicken (Low FODMAP, GF, DF, SCD)",170,4.5,23.0,10.0,https://lh3.googleusercontent.com/XCvv8xFlT30Zrgou8PGIIIdrXGykwP93nd6lBYuTjH5GUkEIwbH4V47xg-ZD1-SNJoqYwqidvGFZPiisR9q4Zg,46130,https://lh3.googleusercontent.com/XCvv8xFlT30Zrgou8PGIIIdrXGykwP93nd6lBYuTjH5GUkEIwbH4V47xg-ZD1-SNJoqYwqidvGFZPiisR9q4Zg=s640-c-rw-v1-e365
41,Homemade-Beignets-1109985,recipe/Homemade-Beignets-1109985,Homemade Beignets,60,1.0,2.0,10.0,https://lh3.googleusercontent.com/QXKaJK28agi6KMemvipj8iyniBtEVdkIBk5mT8dKF31T6B7iuO4zB4tLdzf8QJpliyV9xLyz-2IgvWP339TqhQ,2593,https://lh3.googleusercontent.com/QXKaJK28agi6KMemvipj8iyniBtEVdkIBk5mT8dKF31T6B7iuO4zB4tLdzf8QJpliyV9xLyz-2IgvWP339TqhQ=s640-c-rw-v1-e365
42,Quick-Margherita-Naan-Pizza-9029495,recipe/Quick-Margherita-Naan-Pizza-9029495,Quick Margherita Naan Pizza,50,0.5,2.0,10.0,https://lh3.googleusercontent.com/WJ6mW1AdqIHVVmwtKDHWm8emhU_FrJXeT701_xoSXKzH8bcShL7rnUoT48FLMaQYf96Rl1RM03HFENYmB8CwwA,5389,https://lh3.googleusercontent.com/WJ6mW1AdqIHVVmwtKDHWm8emhU_FrJXeT701_xoSXKzH8bcShL7rnUoT48FLMaQYf96Rl1RM03HFENYmB8CwwA=s640-c-rw-v1-e365
