,recipeName,recipeLink,name,calories,fat,protein,carb,imgURL,click_count,image
650,Baked-Spaghetti-9017253,recipe/Baked-Spaghetti-9017253,Baked Spaghetti,750,36.0,41.0,65.0,https://lh3.googleusercontent.com/fsm1TOIzMh2BZDvBGUePLTZ1tFgjYlfdZdoY3c-yHjoDeVf3UDrk4HD_Nq45zj1EW1oGONIN_SwTUN7955upXg,4548,https://lh3.googleusercontent.com/fsm1TOIzMh2BZDvBGUePLTZ1tFgjYlfdZdoY3c-yHjoDeVf3UDrk4HD_Nq45zj1EW1oGONIN_SwTUN7955upXg=s640-c-rw-v1-e365
655,Creamy-Beef-and-Shells-2507403,recipe/Creamy-Beef-and-Shells-2507403,Creamy Beef and Shells,810,45.0,35.0,67.0,https://lh3.googleusercontent.com/2dwU8VWe_pDXcD63k1PvAyTm74l8R6U6ZdZnY1-pkiQoNw-yp1Z-gjuet9WldqORTtcMaNsB8dOpeti1no5Hwbw,65616,https://lh3.googleusercontent.com/2dwU8VWe_pDXcD63k1PvAyTm74l8R6U6ZdZnY1-pkiQoNw-yp1Z-gjuet9WldqORTtcMaNsB8dOpeti1no5Hwbw=s640-c-rw-v1-e365
659,Ham-and-Cheese-Sliders-2676543,recipe/Ham-and-Cheese-Sliders-2676543,Ham and Cheese Sliders,820,44.0,36.0,69.0,https://lh3.googleusercontent.com/Lla0SzAj-ectjl4QGyUTGf2rcSnmuhYvq2FfKlZcJaaoOM70X0ZKpf3-Ip11tTUrXGfJEknDIxOLgc3pB8ovKw,429,https://lh3.googleusercontent.com/Lla0SzAj-ectjl4QGyUTGf2rcSnmuhYvq2FfKlZcJaaoOM70X0ZKpf3-Ip11tTUrXGfJEknDIxOLgc3pB8ovKw=s640-c-rw-v1-e365
662,Kielbasa-Potato-Bake-2399374,recipe/Kielbasa-Potato-Bake-2399374,Kielbasa Potato Bake,760,41.0,29.0,69.0,https://lh3.googleusercontent.com/wlvNYCxm8CyuAx4gPvV7S3DhV1TuPPx2b0b8zCV90ldxbW_7rd183LSEBhm_gJH1iXJbwG9slm7VHYJ_Of5i,5495,https://lh3.googleusercontent.com/wlvNYCxm8CyuAx4gPvV7S3DhV1TuPPx2b0b8zCV90ldxbW_7rd183LSEBhm_gJH1iXJbwG9slm7VHYJ_Of5i=s640-c-rw-v1-e365
665,The-Best-Homemade-Alfredo-Sauce-Ever_-2426479,recipe/The-Best-Homemade-Alfredo-Sauce-Ever_-2426479,The Best Homemade Alfredo Sauce Ever!,820,84.0,14.0,7.0,https://lh3.googleusercontent.com/lPNS60mhOZPuyCCRzJ8c5CMO3DtGekrTL_eHKRHSIYqkZWWwwipW5FA84tlSnnl77ZN5wBaQZ1H0J9bcbJ2C,205025,https://lh3.googleusercontent.com/lPNS60mhOZPuyCCRzJ8c5CMO3DtGekrTL_eHKRHSIYqkZWWwwipW5FA84tlSnnl77ZN5wBaQZ1H0J9bcbJ2C=s640-c-rw-v1-e365
682,Brown-Butter-Parmesan-Pasta-2256879,recipe/Brown-Butter-Parmesan-Pasta-2256879,Brown Butter Parmesan Pasta,650,31.0,20.0,75.0,https://lh3.googleusercontent.com/Z1ccKLi-JD6sMugTaPwOgbdq56FaAsds6EBa6_irFhUDejZmm93NJOUQo7rx_HACYRzgKQ5oo-rsct6NlEnzlEo,1481,https://lh3.googleusercontent.com/Z1ccKLi-JD6sMugTaPwOgbdq56FaAsds6EBa6_irFhUDejZmm93NJOUQo7rx_HACYRzgKQ5oo-rsct6NlEnzlEo=s640-c-rw-v1-e365
691,Instant-Pot-Creamy-Tuscan-Chicken-Pasta-2472789,recipe/Instant-Pot-Creamy-Tuscan-Chicken-Pasta-2472789,Instant Pot Creamy Tuscan Chicken Pasta,720,23.0,54.0,77.0,https://lh3.googleusercontent.com/sEngzaO628qlstlBH46a9dVJPOKm_-BPcDWI3Y2MyJWM8LirzYw0nSND6uEA-YNhrQGjeDYKbwnRTNbgZMYOwAw,190651,https://lh3.googleusercontent.com/sEngzaO628qlstlBH46a9dVJPOKm_-BPcDWI3Y2MyJWM8LirzYw0nSND6uEA-YNhrQGjeDYKbwnRTNbgZMYOwAw=s640-c-rw-v1-e365
711,Shroom-Goulash-with-White-Rice-9126215,recipe/Shroom-Goulash-with-White-Rice-9126215,Shroom Goulash with White Rice,820,52.0,11.0,80.0,https://lh3.googleusercontent.com/DLpxpKihQAMgDwllesNbFCtTndtYIG39piNQjZm-8mjGCW947I_k0mwT4UKa5ycKqBWpIglo58QN20ub3OV4uG4,1130,https://lh3.googleusercontent.com/DLpxpKihQAMgDwllesNbFCtTndtYIG39piNQjZm-8mjGCW947I_k0mwT4UKa5ycKqBWpIglo58QN20ub3OV4uG4=s640-c-rw-v1-e365
713,Cookie-Bars-2539439,recipe/Cookie-Bars-2539439,Cookie Bars,630,34.0,6.0,80.0,https://lh3.googleusercontent.com/u52WTOKp4jJ6_YMkoCaU4U-jQuBMFlZO90oec9u5cd_QuPgUj6Cr1C2ToWo2NF8VsZ2GW9gXNzhVkD7qWrOrqkI,1934,https://lh3.googleusercontent.com/u52WTOKp4jJ6_YMkoCaU4U-jQuBMFlZO90oec9u5cd_QuPgUj6Cr1C2ToWo2NF8VsZ2GW9gXNzhVkD7qWrOrqkI=s640-c-rw-v1-e365
715,The-Best-Thanksgiving-Mashed-Potatoes-2235487,recipe/The-Best-Thanksgiving-Mashed-Potatoes-2235487,The Best Thanksgiving Mashed Potatoes,650,24.0,30.0,82.0,https://lh3.googleusercontent.com/ibVMgrn-Q5Gy__1rGsyLPLz6zTG-RbSPnDlEni35lSghxLmjpHOBe0Ybo0EJ4NwnhKTppdpNQFnP8LYcT6Oi,9729,https://lh3.googleusercontent.com/ibVMgrn-Q5Gy__1rGsyLPLz6zTG-RbSPnDlEni35lSghxLmjpHOBe0Ybo0EJ4NwnhKTppdpNQFnP8LYcT6Oi=s640-c-rw-v1-e365
718,Mile-High-Biscuits-2337967,recipe/Mile-High-Biscuits-2337967,Mile High Biscuits,730,38.0,14.0,83.0,https://lh3.googleusercontent.com/YYlaggmaZv8F00JPTtxNEHd01VZnO6g0SnzGTaE7pk0gje-uSBthKap-BwS8bz32e7RO7c1YJBhwRAi8yGLL,772,https://lh3.googleusercontent.com/YYlaggmaZv8F00JPTtxNEHd01VZnO6g0SnzGTaE7pk0gje-uSBthKap-BwS8bz32e7RO7c1YJBhwRAi8yGLL=s640-c-rw-v1-e365
721,Olive-Garden-Five-Cheese-Ziti-al-Forno-2558816,recipe/Olive-Garden-Five-Cheese-Ziti-al-Forno-2558816,Olive Garden Five Cheese Ziti al Forno,830,39.0,32.0,86.0,https://lh3.googleusercontent.com/vkVShtCQ00Rsgk9K4I9_oxOxu5i6Gt5VKrblI__pWRvKgbc5rAA06RptnubIya__97SYJCKPQDhcyB6C1hyuwU8,10456,https://lh3.googleusercontent.com/vkVShtCQ00Rsgk9K4I9_oxOxu5i6Gt5VKrblI__pWRvKgbc5rAA06RptnubIya__97SYJCKPQDhcyB6C1hyuwU8=s640-c-rw-v1-e365
723,Pb-and-J-Burrito-2663682,recipe/Pb-and-J-Burrito-2663682,Pb and J Burrito,640,28.0,17.0,88.0,https://lh3.googleusercontent.com/qjavmwInhlwOamlc4SA34u-lJv-wvXJDzkJPD61B89KOc3KlXX4LwiR_SS648gYb206Vgh7jxPH5EuNjaZRKiw,11793,https://lh3.googleusercontent.com/qjavmwInhlwOamlc4SA34u-lJv-wvXJDzkJPD61B89KOc3KlXX4LwiR_SS648gYb206Vgh7jxPH5EuNjaZRKiw=s640-c-rw-v1-e365
724,Black-Bean-Quinoa-Buddha-Bowl-2227717,recipe/Black-Bean-Quinoa-Buddha-Bowl-2227717,Black Bean-Quinoa Buddha Bowl,760,40.0,26.0,89.0,https://lh3.googleusercontent.com/BcfsfkuMQFrBQCKdBzpO3a1rrpezic5RybQt-2vG7ZtOAo1ghwKmeO3KbSlgrwJLgTTfFDMtPD8I3YKt8m3Cvw,30545,https://lh3.googleusercontent.com/BcfsfkuMQFrBQCKdBzpO3a1rrpezic5RybQt-2vG7ZtOAo1ghwKmeO3KbSlgrwJLgTTfFDMtPD8I3YKt8m3Cvw=s640-c-rw-v1-e365
751,Cheesy-Enchilada-Rice-and-Beans-Casserole-2427389,recipe/Cheesy-Enchilada-Rice-and-Beans-Casserole-2427389,Cheesy Enchilada Rice and Beans Casserole,640,19.0,26.0,90.0,https://lh3.googleusercontent.com/rSYUB3NSO_4D9uXhDVwkuBh8xHhmVQSqE_Q0hzrULi_OALFbfMJNVA_vozs1e69Jfz6aY99u8ejHgvSWdhIt,16933,https://lh3.googleusercontent.com/rSYUB3NSO_4D9uXhDVwkuBh8xHhmVQSqE_Q0hzrULi_OALFbfMJNVA_vozs1e69Jfz6aY99u8ejHgvSWdhIt=s640-c-rw-v1-e365
752,Apple-Cinnamon-Bread-9028438,recipe/Apple-Cinnamon-Bread-9028438,Apple Cinnamon Bread,640,27.0,10.0,91.0,https://lh3.googleusercontent.com/0ADy7YMmuTH6SkmDeBRItvJ_nVe40OaK5NiDvi-6o5P0jdI1XIajkF0_yKSNln8EzOsjNMHXqfUibRKxtda6,1880,https://lh3.googleusercontent.com/0ADy7YMmuTH6SkmDeBRItvJ_nVe40OaK5NiDvi-6o5P0jdI1XIajkF0_yKSNln8EzOsjNMHXqfUibRKxtda6=s640-c-rw-v1-e365
757,One-Pot-Spaghetti-Aglio-e-Olio-2536973,recipe/One-Pot-Spaghetti-Aglio-e-Olio-2536973,One Pot Spaghetti Aglio e Olio,680,20.0,31.0,95.0,https://lh3.googleusercontent.com/DDTbtmuYXTZOUXGCIlhBiaHxkWF7tmIL1JQQ6ihwr32UnGiExMrG0BJNBLVfH4neuABSyN7jQ4LwbLoa59ajMA,3076,https://lh3.googleusercontent.com/DDTbtmuYXTZOUXGCIlhBiaHxkWF7tmIL1JQQ6ihwr32UnGiExMrG0BJNBLVfH4neuABSyN7jQ4LwbLoa59ajMA=s640-c-rw-v1-e365
759,Chicken_-Broccoli_-_-Pasta-Skillet-Casserole-2226056,recipe/Chicken_-Broccoli_-_-Pasta-Skillet-Casserole-2226056,"Chicken, Broccoli, & Pasta Skillet Casserole",650,10.0,43.0,98.0,https://lh3.googleusercontent.com/jIqWJC6ZqvWT1h__nTgGnPc-OGTz-bO5X1Eyn6lVa0sR2n7IWwv8lFbYGYyyS5oqou8nRUm1s0gvt2YJW-1md4E,153920,https://lh3.googleusercontent.com/jIqWJC6ZqvWT1h__nTgGnPc-OGTz-bO5X1Eyn6lVa0sR2n7IWwv8lFbYGYyyS5oqou8nRUm1s0gvt2YJW-1md4E=s640-c-rw-v1-e365
