,recipeName,recipeLink,name,calories,fat,protein,carb,imgURL,click_count,image
0,Homemade-Mayonnaise-2621979,recipe/Homemade-Mayonnaise-2621979,Homemade Mayonnaise,500,55.0,2.0,0.0,https://lh3.googleusercontent.com/Z3FbYu6NWZarbAJ7pydOjErBw95uY4xFLYRm65hVP40Fkt0LOAM516v2WNN7-OruX4ymuvr0mj5UqxBqWJv8,1301,https://lh3.googleusercontent.com/Z3FbYu6NWZarbAJ7pydOjErBw95uY4xFLYRm65hVP40Fkt0LOAM516v2WNN7-OruX4ymuvr0mj5UqxBqWJv8=s640-c-rw-v1-e365
1,Garlic-_-Rosemary-Roast-9122852,recipe/Garlic-_-Rosemary-Roast-9122852,Garlic & Rosemary Roast,430,31.0,36.0,0.0,https://lh3.googleusercontent.com/VyEz1rf2cTjDfSEpCe6qlaBjpwzlQhjE_OT4MNtLCp0xQLTyIR3tl5MX_ersxFx410Fze3V2lFEIaJKJ0t6x,460,https://lh3.googleusercontent.com/VyEz1rf2cTjDfSEpCe6qlaBjpwzlQhjE_OT4MNtLCp0xQLTyIR3tl5MX_ersxFx410Fze3V2lFEIaJKJ0t6x=s640-c-rw-v1-e365
4,Ultimate-Garlic-Pork-Loin-Roast-2538558,recipe/Ultimate-Garlic-Pork-Loin-Roast-2538558,Ultimate Garlic Pork Loin Roast,450,30.0,45.0,0.5,https://lh3.googleusercontent.com/svyM3zBmVBUGUgFNjvbT-d7jpTk2Q8pBu4gqy2rzwEkdWxhgGoYLhns9vHj-bCVUY4p7DyNObo_wOpUsoN5r,17437,https://lh3.googleusercontent.com/svyM3zBmVBUGUgFNjvbT-d7jpTk2Q8pBu4gqy2rzwEkdWxhgGoYLhns9vHj-bCVUY4p7DyNObo_wOpUsoN5r=s640-c-rw-v1-e365
5,Pan-Seared-Steak-with-Garlic-Butter-Sauce-2498716,recipe/Pan-Seared-Steak-with-Garlic-Butter-Sauce-2498716,Pan Seared Steak with Garlic Butter Sauce,590,47.0,39.0,0.5,https://lh3.googleusercontent.com/Jqxo1Xt20Wlkoj12wxwmTHmfMfQ-T6-mVH-KudwEEYXP4tE7gb9-sZmmh0wxBFtYfXqLvijDnQ3Bq7gZli1ztQ,8383,https://lh3.googleusercontent.com/Jqxo1Xt20Wlkoj12wxwmTHmfMfQ-T6-mVH-KudwEEYXP4tE7gb9-sZmmh0wxBFtYfXqLvijDnQ3Bq7gZli1ztQ=s640-c-rw-v1-e365
22,Garlic-Butter-Pork-Chops-2678242,recipe/Garlic-Butter-Pork-Chops-2678242,Garlic Butter Pork Chops,520,34.0,50.0,1.0,https://lh3.googleusercontent.com/Cs8YDW1RViJWxwOMXg_8GsOuuRT64bkHBNrYXyajlH5YDxrSJTtP_5VlkiC27q5yvpqw9nz7bHGhWgvIAwmw,18185,https://lh3.googleusercontent.com/Cs8YDW1RViJWxwOMXg_8GsOuuRT64bkHBNrYXyajlH5YDxrSJTtP_5VlkiC27q5yvpqw9nz7bHGhWgvIAwmw=s640-c-rw-v1-e365
23,Garlic-Butter-Baked-Pork-Chops-2600608,recipe/Garlic-Butter-Baked-Pork-Chops-2600608,Garlic Butter Baked Pork Chops,460,36.0,34.0,1.0,https://lh3.googleusercontent.com/spM0B2Ai8_UEj7Jjqv_zSDh4x6qPfD7OJAGpJwR8ohQeZj6CmrL-lHky2kRrvWruj5C63TTEj-G11f0pX1TXzg,12858,https://lh3.googleusercontent.com/spM0B2Ai8_UEj7Jjqv_zSDh4x6qPfD7OJAGpJwR8ohQeZj6CmrL-lHky2kRrvWruj5C63TTEj-G11f0pX1TXzg=s640-c-rw-v1-e365
24,Herbes-de-Provence-Roasted-Chicken-9085179,recipe/Herbes-de-Provence-Roasted-Chicken-9085179,Herbes de Provence Roasted Chicken,530,41.0,38.0,1.0,https://lh3.googleusercontent.com/yfLTFbZtEQg2AG1ak-pgJ92fhGKiXPyjf3wMye29dcN4YEv5fBCSQTocpbpqUlh6M6INqkEdImcmHH4wdyoPjQ,923,https://lh3.googleusercontent.com/yfLTFbZtEQg2AG1ak-pgJ92fhGKiXPyjf3wMye29dcN4YEv5fBCSQTocpbpqUlh6M6INqkEdImcmHH4wdyoPjQ=s640-c-rw-v1-e365
31,Perfect-Crispy-Baked-Chicken-Wings-9029539,recipe/Perfect-Crispy-Baked-Chicken-Wings-9029539,Perfect Crispy Baked Chicken Wings,500,37.0,40.0,1.0,https://lh3.googleusercontent.com/qJ_6SnNE9B7uTqnZenCELyR9A620iJyknXoScLxj-cPRRpvUn6F5O5jmz_o73PtyQdNcSrSu14szcn_h9n8RldM,9786,https://lh3.googleusercontent.com/qJ_6SnNE9B7uTqnZenCELyR9A620iJyknXoScLxj-cPRRpvUn6F5O5jmz_o73PtyQdNcSrSu14szcn_h9n8RldM=s640-c-rw-v1-e365
48,One-Pan-Creamy-Gnocchi-With-Sausage-2427590,recipe/One-Pan-Creamy-Gnocchi-With-Sausage-2427590,One Pan Creamy Gnocchi With Sausage,420,34.0,16.0,10.0,https://lh3.googleusercontent.com/encXuAO-rqaWpobrMJ0wx-4mfs7eol48wQtecQpQmIEBNDYeQTWynL7Hd9jALRzkOABAbOefTMMxtxL1tMf6yMQ,12438,https://lh3.googleusercontent.com/encXuAO-rqaWpobrMJ0wx-4mfs7eol48wQtecQpQmIEBNDYeQTWynL7Hd9jALRzkOABAbOefTMMxtxL1tMf6yMQ=s640-c-rw-v1-e365
59,Pumpkin-Cake-_Only-2-Ingredients__-9110250,recipe/Pumpkin-Cake-_Only-2-Ingredients__-9110250,Pumpkin Cake {Only 2-Ingredients!},560,14.0,7.0,103.0,https://lh3.googleusercontent.com/wqrDgQqx03zyblR9Dk8F7C4h4xtQ6dCUeHZZp7D7trTXrD5caep4NPBUbnId1zzjTV2qFGxrwjv-pjZR5ueMqQ,1595,https://lh3.googleusercontent.com/wqrDgQqx03zyblR9Dk8F7C4h4xtQ6dCUeHZZp7D7trTXrD5caep4NPBUbnId1zzjTV2qFGxrwjv-pjZR5ueMqQ=s640-c-rw-v1-e365
