,recipeName,recipeLink,name,calories,fat,protein,carb,imgURL,click_count,image
60,Brown-Butter-Mushroom-Pasta-2518930,recipe/Brown-Butter-Mushroom-Pasta-2518930,Brown Butter Mushroom Pasta,990,56.0,21.0,105.0,https://lh3.googleusercontent.com/JYfggPS9JbWW_gHxlrMMzOZkSV_p2B2sfZLMgcHKZ_xa27AlNko2XsiHDd-3ys7xrH2HoxxDEqOQuXA3nhmwIA,30160,https://lh3.googleusercontent.com/JYfggPS9JbWW_gHxlrMMzOZkSV_p2B2sfZLMgcHKZ_xa27AlNko2XsiHDd-3ys7xrH2HoxxDEqOQuXA3nhmwIA=s640-c-rw-v1-e365
100,Melt-In-Your-Mouth-Doughnuts-2259710,recipe/Melt-In-Your-Mouth-Doughnuts-2259710,Melt In Your Mouth Doughnuts,960,52.0,9.0,121.0,https://lh3.googleusercontent.com/VMyVNHlTgfGtj3lqCkDxbvDzlA4sT7slyQXJZ1MXvsZEuyM0-6wCK8s2xxPY8sdd7I40pFda66kLRp1GTdiq,47144,https://lh3.googleusercontent.com/VMyVNHlTgfGtj3lqCkDxbvDzlA4sT7slyQXJZ1MXvsZEuyM0-6wCK8s2xxPY8sdd7I40pFda66kLRp1GTdiq=s640-c-rw-v1-e365
101,Extraordinary-Chocolate-Chip-Cookies-2134629,recipe/Extraordinary-Chocolate-Chip-Cookies-2134629,Extraordinary Chocolate Chip Cookies,1290,91.0,14.0,126.0,https://lh3.googleusercontent.com/nhIUjgCaBQ1kougen5Jgfk0a5rJ37vD6Dly1i34gn7lVVP07_E2DCchaSPVCfFL5NHXrItIW38-5CMjAArSp,38073,https://lh3.googleusercontent.com/nhIUjgCaBQ1kougen5Jgfk0a5rJ37vD6Dly1i34gn7lVVP07_E2DCchaSPVCfFL5NHXrItIW38-5CMjAArSp=s640-c-rw-v1-e365
102,Old-Fashioned-Goulash-9075816,recipe/Old-Fashioned-Goulash-9075816,Old Fashioned Goulash,1270,52.0,72.0,128.0,https://lh3.googleusercontent.com/Jo0ZchzdtdQShypZCIaRA6x5J8ShJpbBFY4ABV4IqbX1HFaxduMj37nG52HkJjDq9R1oh5-irpIJLB2_SIPE,5959,https://lh3.googleusercontent.com/Jo0ZchzdtdQShypZCIaRA6x5J8ShJpbBFY4ABV4IqbX1HFaxduMj37nG52HkJjDq9R1oh5-irpIJLB2_SIPE=s640-c-rw-v1-e365
122,Cinnamon-Honey-Butter--Gifts-in-a-Jar-1203370,recipe/Cinnamon-Honey-Butter--Gifts-in-a-Jar-1203370,Cinnamon Honey Butter- Gifts in a Jar,1050,61.0,0.5,134.0,https://lh3.googleusercontent.com/5sWZQGSLmjsBIboz0nIQWPqpTYXCGf279odBdbZhvXyLJkuGZgHJBpgrEHXrZ2Cq-ZmorW1XUNsDbVthrBntrA,2360,https://lh3.googleusercontent.com/5sWZQGSLmjsBIboz0nIQWPqpTYXCGf279odBdbZhvXyLJkuGZgHJBpgrEHXrZ2Cq-ZmorW1XUNsDbVthrBntrA=s640-c-rw-v1-e365
123,Christmas-Crack-9125146,recipe/Christmas-Crack-9125146,Christmas Crack,1320,91.0,9.0,136.0,https://lh3.googleusercontent.com/Cd-mcseKV3OZDxFLBY2cJGtYN-KbQkdR4oOttuXKE5DpSLnIhX4tlF1U89MgkeaxMBSNxgntHWN3ZpDtCiHbMw,5299,https://lh3.googleusercontent.com/Cd-mcseKV3OZDxFLBY2cJGtYN-KbQkdR4oOttuXKE5DpSLnIhX4tlF1U89MgkeaxMBSNxgntHWN3ZpDtCiHbMw=s640-c-rw-v1-e365
124,Sweet-Bread-2190509,recipe/Sweet-Bread-2190509,Sweet Bread,860,29.0,14.0,137.0,https://lh3.googleusercontent.com/3J6DgaAt0ql92NiuOaCQ8KbXdvvAr3hZD_IihKGfPcsrkCA3ebcWKlSy9erQhVvzudVWRQTS9GJJ2U19AA2O,497,https://lh3.googleusercontent.com/3J6DgaAt0ql92NiuOaCQ8KbXdvvAr3hZD_IihKGfPcsrkCA3ebcWKlSy9erQhVvzudVWRQTS9GJJ2U19AA2O=s640-c-rw-v1-e365
137,Best-Pecan-Pie-2573411,recipe/Best-Pecan-Pie-2573411,Best Pecan Pie,1020,49.0,11.0,144.0,https://lh3.googleusercontent.com/sAYS7eDF2VRuIsVw-zbB_H6vH4Pf11cE7C3RqVn6Zjjk8ndBAXMU3Ikyq-7ZP_x9EnSxj-rynO5sxS3dY1hp3oc,2178,https://lh3.googleusercontent.com/sAYS7eDF2VRuIsVw-zbB_H6vH4Pf11cE7C3RqVn6Zjjk8ndBAXMU3Ikyq-7ZP_x9EnSxj-rynO5sxS3dY1hp3oc=s640-c-rw-v1-e365
138,Easiest-Oreo-Cheesecake-1632020,recipe/Easiest-Oreo-Cheesecake-1632020,Easiest Oreo Cheesecake,1650,111.0,26.0,144.0,https://lh3.googleusercontent.com/t26Sn_3fb_TP9Cin9ssucoskFvDbF9dOUYRU-uwjAUZdT4RkZNpEvqxoDGkYYoljt-BQsCI_zLX0p0G68FoDVw,27842,https://lh3.googleusercontent.com/t26Sn_3fb_TP9Cin9ssucoskFvDbF9dOUYRU-uwjAUZdT4RkZNpEvqxoDGkYYoljt-BQsCI_zLX0p0G68FoDVw=s640-c-rw-v1-e365
153,Snickerdoodle-2559419,recipe/Snickerdoodle-2559419,Snickerdoodle,1100,49.0,12.0,153.0,https://lh3.googleusercontent.com/Vn0uCMsYkVCwJeeZjHDevqxIUFiZzy_0_3WybBTUV-tc2fqOpVQgHNIaRi7Bi3PuBBibfptP4BihBVTZ6kSNrQ,2209,https://lh3.googleusercontent.com/Vn0uCMsYkVCwJeeZjHDevqxIUFiZzy_0_3WybBTUV-tc2fqOpVQgHNIaRi7Bi3PuBBibfptP4BihBVTZ6kSNrQ=s640-c-rw-v1-e365
