name,fat,protein,carb,calories,recipeLink,recipeName,recipeUrl,click_count
Chickpea-Salad-with-Cucumbers-and-Tomatoes-9012126,8.0,5.0,1.0,100,recipe/Chickpea-Salad-with-Cucumbers-and-Tomatoes-9012126,Chickpea Salad with Cucumbers and Tomatoes,https://lh3.googleusercontent.com/Fzn-2VxDWiEzefnIk_8dSVy72_CkpUB5mSqR72av0G8CmzQUzA6DbQxW--N9pqFr7a4rFJbxeNyorOKynv3zsw,25059
Pigs-in-a-Blanket-9057763,36.0,34.0,1.0,460,recipe/Pigs-in-a-Blanket-9057763,Pigs in a Blanket,https://lh3.googleusercontent.com/2EytpX5w3tYf-Kingvbq9Kh_Fx1_q7FLAetmfb_4XkY9s1Y0WSWAnbCaYCIjeA1WN07VwibdKmDBfSiuDc36h8A,2930
Grilled-Zucchini-9033581,41.0,38.0,1.0,530,recipe/Grilled-Zucchini-9033581,Grilled Zucchini,https://lh3.googleusercontent.com/1YpTOgh0Wiai_59jGdRDHhzwiBGFQbIYqtVeI6Zz4wSx374aXE06JJ3n6dgVk286qcqCKl1h2_kaiRtfebzv,9720
Roasted-Garlic-Parmesan-Cream-Sauce-2636666,12.0,12.0,1.0,170,recipe/Roasted-Garlic-Parmesan-Cream-Sauce-2636666,Roasted Garlic-Parmesan Cream Sauce,https://lh3.googleusercontent.com/xZj0_ukwjT2E0sT6ou_hMIFXYxTS4o-YFDUWae_KoXKAqHPLhWS4wuDfXjbOfqK9gZpScWer6OY9TCGfJW7dCg,417
Fast-and-Easy-Greek-Grilled-Eggplant-9107833,0.5,0.0,1.0,10,recipe/Fast-and-Easy-Greek-Grilled-Eggplant-9107833,Fast and Easy Greek Grilled Eggplant,https://lh3.googleusercontent.com/XhrCzZME5qwRq8H4Tezpl7smmR1SSy7JLeakYhYzceA5VYwRhCtsSAaAigbYs4qnZO9cL-PxJm6QRat7bTo-Nxg,2062
Garlic-Butter-Steak-Bites-2517022,16.0,38.0,1.0,310,recipe/Garlic-Butter-Steak-Bites-2517022,Garlic Butter Steak Bites,https://lh3.googleusercontent.com/Kst4VrBiW6jVO-0SqfcodYmbb2o50DhtRWhnpVn6ZkZAu3R-_3Hs-6rdtwBSnW6th_Imkf5teRoTJ-JegHTQfQ,7973
Roti-_Buttery-Indian-Flatbread_-2641323,7.0,0.0,1.0,70,recipe/Roti-_Buttery-Indian-Flatbread_-2641323,Roti (Buttery Indian Flatbread),https://lh3.googleusercontent.com/GJS5VrKieXFPdKQy_5LDvPlwYAHI1UBMiaKML3Cq_h9am8UtjCqNjM3JwUZMg1UN25rLR8w6ZVo8H06mJ85T,2360
Christmas-Punch-9106277,2.0,4.0,1.0,35,recipe/Christmas-Punch-9106277,Christmas Punch,https://lh3.googleusercontent.com/dnnJILksGkfvKz0kBKKltu9KGY0ni8cqwc4enNNP_5C8ktWnUWG2Egd10Rz3mlRcQ3RHPRCE5UztjS3kJKty,1584
Collagen-Boosted-Green-Juice-2541353,26.0,26.0,1.0,340,recipe/Collagen-Boosted-Green-Juice-2541353,Collagen-Boosted Green Juice,https://lh3.googleusercontent.com/KcGpMGQP9-Dhcok0OqeRhro2xbMCZVXYCiQl0W6mkIkh07SzRKE0Re3bzqQqvn1hJgYW-VyYXcJdhvZz3DP0SA,546
Baked-Salmon-with-Parmesan-Herb-Crust-2037670,6.0,8.0,1.0,90,recipe/Baked-Salmon-with-Parmesan-Herb-Crust-2037670,Baked Salmon with Parmesan Herb Crust,https://lh3.googleusercontent.com/ZCBb4pY2U0D58EIWihpcztTVPBq0R3nggqm5xj-f-scxe68YJ93nHJ-P1H-W9ENQCi0RRCY0CeGMZhFwhEkKWw,55833
