,recipeName,recipeLink,name,calories,fat,protein,carb,imgURL,click_count,image
60,Brown-Butter-Mushroom-Pasta-2518930,recipe/Brown-Butter-Mushroom-Pasta-2518930,Brown Butter Mushroom Pasta,990,56.0,21.0,105.0,https://lh3.googleusercontent.com/JYfggPS9JbWW_gHxlrMMzOZkSV_p2B2sfZLMgcHKZ_xa27AlNko2XsiHDd-3ys7xrH2HoxxDEqOQuXA3nhmwIA,30160,https://lh3.googleusercontent.com/JYfggPS9JbWW_gHxlrMMzOZkSV_p2B2sfZLMgcHKZ_xa27AlNko2XsiHDd-3ys7xrH2HoxxDEqOQuXA3nhmwIA=s640-c-rw-v1-e365
87,Baked-Chicken-Parmesan-2258138,recipe/Baked-Chicken-Parmesan-2258138,Baked Chicken Parmesan,830,21.0,50.0,110.0,https://lh3.googleusercontent.com/sCP1dPeyt8BTBhVfLCHKgzQvuX-8mj2xAVGub0Cc12NPzZGBAeGhhMlP4nS7pEnqEdWi38dSY18OMmPdH_RD,30757,https://lh3.googleusercontent.com/sCP1dPeyt8BTBhVfLCHKgzQvuX-8mj2xAVGub0Cc12NPzZGBAeGhhMlP4nS7pEnqEdWi38dSY18OMmPdH_RD=s640-c-rw-v1-e365
100,Melt-In-Your-Mouth-Doughnuts-2259710,recipe/Melt-In-Your-Mouth-Doughnuts-2259710,Melt In Your Mouth Doughnuts,960,52.0,9.0,121.0,https://lh3.googleusercontent.com/VMyVNHlTgfGtj3lqCkDxbvDzlA4sT7slyQXJZ1MXvsZEuyM0-6wCK8s2xxPY8sdd7I40pFda66kLRp1GTdiq,47144,https://lh3.googleusercontent.com/VMyVNHlTgfGtj3lqCkDxbvDzlA4sT7slyQXJZ1MXvsZEuyM0-6wCK8s2xxPY8sdd7I40pFda66kLRp1GTdiq=s640-c-rw-v1-e365
124,Sweet-Bread-2190509,recipe/Sweet-Bread-2190509,Sweet Bread,860,29.0,14.0,137.0,https://lh3.googleusercontent.com/3J6DgaAt0ql92NiuOaCQ8KbXdvvAr3hZD_IihKGfPcsrkCA3ebcWKlSy9erQhVvzudVWRQTS9GJJ2U19AA2O,497,https://lh3.googleusercontent.com/3J6DgaAt0ql92NiuOaCQ8KbXdvvAr3hZD_IihKGfPcsrkCA3ebcWKlSy9erQhVvzudVWRQTS9GJJ2U19AA2O=s640-c-rw-v1-e365
191,Amish-White-Bread-9036713,recipe/Amish-White-Bread-9036713,Amish White Bread,950,16.0,21.0,178.0,https://lh3.googleusercontent.com/0GR-JiYjxR-k-1dN0XljRv33bDTrm3XMEKds3E9qIM-cLV_PjQsHn7HzFTWmTarz2SsKS4kS3VbYSw_12fIZ,59,https://lh3.googleusercontent.com/0GR-JiYjxR-k-1dN0XljRv33bDTrm3XMEKds3E9qIM-cLV_PjQsHn7HzFTWmTarz2SsKS4kS3VbYSw_12fIZ=s640-c-rw-v1-e365
402,Slow-Cooker-Beef-Bourguignon-2484519,recipe/Slow-Cooker-Beef-Bourguignon-2484519,Slow Cooker Beef Bourguignon,820,53.0,53.0,30.0,https://lh3.googleusercontent.com/N51oAzAMunCSP7rPemULYQt4KwT3OKwryQxDMdl2Z9tgJh97uT6QnjKCgePGIh1TYfwcGL8by41hwV94Ktw1eQ,31756,https://lh3.googleusercontent.com/N51oAzAMunCSP7rPemULYQt4KwT3OKwryQxDMdl2Z9tgJh97uT6QnjKCgePGIh1TYfwcGL8by41hwV94Ktw1eQ=s640-c-rw-v1-e365
428,Twice-Baked-Potato-Casserole-2097769,recipe/Twice-Baked-Potato-Casserole-2097769,Twice Baked Potato Casserole,840,67.0,28.0,33.0,https://lh3.googleusercontent.com/mj9eA8bmA41UUPw2fVvFZKJ60hzTqEmDEf8Ok9U72w0mhtNsBqtyT2Jg2iBy3pq-WaKwHDWeY9ygknEbRea8UEI,33596,https://lh3.googleusercontent.com/mj9eA8bmA41UUPw2fVvFZKJ60hzTqEmDEf8Ok9U72w0mhtNsBqtyT2Jg2iBy3pq-WaKwHDWeY9ygknEbRea8UEI=s640-c-rw-v1-e365
456,Thai-Peanut-Sauce-2350712,recipe/Thai-Peanut-Sauce-2350712,Thai Peanut Sauce,840,72.0,25.0,38.0,https://lh3.googleusercontent.com/5TtpO5jQQzs7mFXoUTP3Zz6vdOTHEINf1qonvLvKtXkSVnnxxzwgHjb-hYU8xUg8IVDEW-rOW73o2TLTePR52w,1876,https://lh3.googleusercontent.com/5TtpO5jQQzs7mFXoUTP3Zz6vdOTHEINf1qonvLvKtXkSVnnxxzwgHjb-hYU8xUg8IVDEW-rOW73o2TLTePR52w=s640-c-rw-v1-e365
465,GARLIC-BUTTER-SEAFOOD-BOIL-9118113,recipe/GARLIC-BUTTER-SEAFOOD-BOIL-9118113,GARLIC BUTTER SEAFOOD BOIL,880,70.0,28.0,39.0,https://lh3.googleusercontent.com/TXJmGeSkRUJNpmyT3eXyC8kX5NzjPh6Vk4IWrqnzkUtfc5a6sA0W8zm6XuyAi0jxmVHkWSnfyXphycI8I-s05Q,496,https://lh3.googleusercontent.com/TXJmGeSkRUJNpmyT3eXyC8kX5NzjPh6Vk4IWrqnzkUtfc5a6sA0W8zm6XuyAi0jxmVHkWSnfyXphycI8I-s05Q=s640-c-rw-v1-e365
470,Vegan-Parmesan-1494459,recipe/Vegan-Parmesan-1494459,Vegan Parmesan,830,68.0,29.0,39.0,https://lh3.googleusercontent.com/ES4klMTJFYiKbnEKJ2yqtuXROxPUDEId9ua4Ty1tGc-RUNx9LwpTSy-1V7XeWpy5ffa7OQBaY-VqfB7b6CLU,465,https://lh3.googleusercontent.com/ES4klMTJFYiKbnEKJ2yqtuXROxPUDEId9ua4Ty1tGc-RUNx9LwpTSy-1V7XeWpy5ffa7OQBaY-VqfB7b6CLU=s640-c-rw-v1-e365
